,word,frequency
1463,experiences,1
1464,Become,1
1465,wine,8
1466,snob,1
1467,@sonalholland_masterofwine,1
1468,‘s,2
1469,pro,2
1470,"course,",1
1471,understanding,1
1472,what,4
1473,"is,",1
1474,tips,1
1475,read,1
1476,labels,1
1477,wines,1
1478,food.,1
1479,Italian,1
1480,brunch,1
1481,cook-off,1
1482,hosted,1
1483,@foodhallcookerystudio,1
1484,head,1
1485,link,1
1486,bio,1
1487,book,1
1488,sibling.,1
1489,Train,1
1490,professional,1
1491,taster,1
1492,@kocoatrait,1
1493,foundation,1
1494,course.,1
1495,An,2
1496,ideal,1
1497,"lover,",1
1498,@smthingsbrewing,1
1499,one-stop-shop,1
1500,things,2
1501,"coffee,",1
1502,specialty,1
1503,high-quality,1
1504,Finum,1
1505,double,1
1506,wall,1
1507,"lid,",1
1508,Raise,1
1509,toast,1
1510,taking,1
1511,bartending,1
1512,workshop,1
1513,mixology,1
1514,Skyy,1
1515,John,1
1516,person,1
1517,behind,1
1518,"channel,",1
1519,@tipsybartender,1
1520,Skip,1
1521,sibling:,1
1522,#Mumbai,1
1523,contemporary,1
1524,haveli,1
1525,replaced,1
1526,iconic,1
1527,Pali,3
1528,Village,2
1529,Cafe,1
1530,feels,1
1531,less,1
1532,"restaurant,",1
1533,"well-travelled,",1
1534,nomadic,1
1535,tastemaker's,1
1536,airy,1
1537,bungalow,1
1538,somewhere,1
1539,Rajasthan.,1
1540,Joshi,1
1541,"House,",1
1542,"Cafe,",1
1543,serves,1
1544,only,1
1545,wine.,1
1546,extensive,2
1547,list,1
1548,culminates,1
1549,pageful,1
1550,"approachable,",1
1551,playful,1
1552,"cocktails,",1
1553,white,2
1554,slightly,1
1555,savoury,1
1556,infusing,1
1557,kadipatta,1
1558,sparkling,1
1559,spiked,1
1560,hazelnut,1
1561,vanilla.,1
1562,menu,2
1563,features,1
1564,plates,1
1565,"large,",1
1566,something,1
1567,everyone.,1
1568,Here’s,1
1569,sneak,1
1570,peak,1
1571,Khasta,1
1572,kachori,1
1573,blanketed,1
1574,mutton,1
1575,"kheema,",1
1576,"unctuous,",1
1577,throat-tingling,1
1578,nihari,1
1579,On-the-shell,1
1580,lobster,1
